Device name,Latest risk score,Operating system,IP address,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
TPV-221-001,0,Windows 10 10.0 (Build 17763),10.1.221.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-06-16 08:17:30,2023-08-16 15:21:35
TPV-401-001,0,Windows 10 10.0 (Build 17763),10.2.101.1,,0,Apex One as a Service,2023-01-12 06:47:10,2023-08-16 08:13:23
10.3.0.6,0,,10.3.0.6,,0,Endpoint & Workload Security,2023-09-15 05:40:52,2023-10-31 18:30:00
10.3.0.229,0,,10.3.0.229,,0,Endpoint & Workload Security,2023-09-15 05:40:54,2023-10-31 18:30:00
10.3.103.102,0,,10.3.103.102,,0,Endpoint & Workload Security,2023-10-28 01:21:43,2023-10-31 18:30:00
TPV-141-002,0,Windows 10 10.0 (Build 17763),10.1.141.1,,0,Apex One as a Service,2023-05-23 21:14:18,2023-08-16 15:33:03
10.3.0.224,0,,10.3.0.224,,0,Endpoint & Workload Security,2023-09-15 05:40:58,2023-10-31 18:30:00
LP-412-4,0,Windows 10 10.0 (Build 19045),10.2.112.7,,0,Apex One as a Service,2021-09-22 23:23:43,2023-08-16 15:31:58
TPV-139-002,0,Windows 10 10.0 (Build 17763),10.1.139.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-12-13 13:45:49,2023-08-16 07:25:50
TPV-428-02,0,Windows 10 10.0 (Build 17763),10.2.128.1,,0,Apex One as a Service,2023-04-13 21:23:44,2023-08-16 15:41:16
TPV-012-001,0,Windows 10 10.0 (Build 17763),10.1.12.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2023-01-12 06:47:11,2023-08-16 08:13:23
LAP-403-001,0,Windows 11 10.0 (Build 22621),10.2.103.3,,0,Apex One as a Service,2023-10-31 13:22:24,2023-11-01 02:31:07
TPV-408-002,0,Windows 10 10.0 (Build 17763),10.2.108.2,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-03-07 13:13:11,2023-08-16 15:21:35
LP-030-3,0,Windows 10 10.0 (Build 19045),10.1.30.2,,0,Apex One as a Service,2021-12-02 18:04:56,2023-08-16 15:20:33
TPV-073-001,0,Windows 10 10.0 (Build 17763),10.1.73.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-09-14 05:47:24,2023-08-16 09:59:35
